instance_id,book_id,available,image
1,1,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeiatjszcs7saa3rukh5ephloyibonlbq4kaznuuxytrv76j3lrvdd4
2,2,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeidt6jjbamw77uu43a7m45fevhyapr3rbnsbdxzxcgqjjzakyvj3f4
3,3,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeifwy34ra2h4buuoahu3vrjd62mu3fygyvtwwd6tdufws4gu3dtxhi
4,4,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeide4kjt56ffdpdak5vb3bfmyvxiyfvoohrxxkwzfol2z3h674km6y
69,4,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeig32bdp562gbaho4ec6fbmuetnqx4ke64zlldghtg5nb464io77nu
5,5,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeiaaluojrkz7julbh6ag7akvkcucnw7vbecybjghy3dz3mvsjvvp6y
6,6,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeihpzarjjns4eldjelmm7ofpynu2q43ou2hle6capamzyvenriggf4
16,6,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeicawyzekpoavsyv7pwe5o3fmofs464lhiaucmcoozuqg37ok3abpa
8,7,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeib4xh4dfkmjpltup6mqilf74akzn32kenundnyh7cfecyodqsh67y
9,8,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeids43weewspgicfko2fr645suuppc3ppvfqjxvg5d5i2dn6fymzam
10,9,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeidgomcznkr2ikaynuuekt2hity5tdgv5xtmxpeuqabaosdpewze6e
11,10,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeibrxsugwf6y5euisbqlexlsivglluxd6efsl3ubyfkh44idn5p5cy
12,11,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeihjfjebkyeupjhvrduu5orcg335f5w6oyqiqocqlgbc5yutqcsmdq
25,11,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeih7y2dqpanf4c7s4mycbyscvf6ktuxmeqca7e6xsvnv6534dl2jpe
49,11,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeibjzwauquj4v3vsxmusypvd5ojlokghil4o46cpwg2jcvhgkcaxs4
59,11,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeiaslxbqgjykl5uee467xjx7o2qloen2f7tnolgg7gvl4rchfkoodm
60,11,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeihbaqo45mwz5gndzgga5wkooxrnmj5zyi3lyfpm6543skreym5jhy
65,11,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeieueihb6sgthja7sirjsptxs5yywrkouhlia4bxtgw7ydvorwrlvi
66,11,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeibzbfq6f3yjv63gjqct6krezsxkb4pi3j625rplvfyqxeak4en2ne
67,11,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeifcsetqivztaujth5ytsie3qnarhp5ow6x7xi6rfgpnoxudzdewc4
96,11,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeihcgvblsrgdclcsre2cw2fk2dayfwpdtji56qz2tpdzmgfc6sxl7y
13,12,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeihrmh4tlrqclqdjdcerzbudfpgzt7myjsfo3ohvg77kp5rdxgd4jq
14,13,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeieg2qzyutgkj5zope267tp537munkxrn5tr427snibjunz7iqcjja
15,14,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeif3bjfrie5owdfiyocwcc7qxysyxatsmdeuekbrh6q3smcqmm24ii
17,15,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeihs5he6mhpjgdew5wkzeymrwl7hapuovj3jvsytuvspjhkcezo2ey
18,16,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeic3dcukm34zd6exbqf73hgj2e64wtyl4wb5bc4gxoydeidk66vdm4
19,17,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeidnsylcsxcistdntzbn66bw4kzrjvzt57hgpiosb3g7h2hsmolcym
20,18,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeidvs2ljno6wpblcimvzqtqzfd3ohxp5cgdvfkuaw6f5kfyc5lns7u
21,19,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeibxg4i4qhxdpiywpej2hcukvptyh7l5ysbgrvxj7optmw5annrxka
22,20,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeigevgu4qyzlqwgsvyxbr4mk77kwiujhlwkgerj4g7bg4cson3mdtm
23,20,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeifapwfk3wemptc2ngh2oppd2kriuo2rpdtiy2yjetcqxkd7cntlpm
